bernie_sanders,opposes,keep god in the public sphere 
bernie_sanders,favors,expand obamacare 
bernie_sanders,opposes,privatize social security 
bernie_sanders,opposes,vouchers for school choice 
bernie_sanders,opposes,epa regulations are too restrictive 
bernie_sanders,opposes,stricter punishment reduces crime 
bernie_sanders,opposes,absolute right to gun ownership 
bernie_sanders,favors,higher taxes on the wealthy 
bernie_sanders,favors,pathway to citizenship for illegal aliens 
bernie_sanders,opposes,support & expand free trade 
bernie_sanders,opposes,support american exceptionalism 
bernie_sanders,opposes,expand the military 
bernie_sanders,favors,make voter registration easier 
bernie_sanders,favors,avoid foreign entanglements 
bernie_sanders,favors,prioritize green energy 
bernie_sanders,opposes,marijuana is a gateway drug 
bernie_sanders,favors,stimulus better than market-led recovery 
bill_clinton,favors,abortion is a woman's unrestricted right 
bill_clinton,favors,legally require hiring women & minorities 
bill_clinton,favors,comfortable with same-sex marriage 
bill_clinton,favors,keep god in the public sphere 
bill_clinton,favors,expand obamacare 
bill_clinton,favors,privatize social security 
bill_clinton,opposes,vouchers for school choice 
bill_clinton,opposes,epa regulations are too restrictive 
bill_clinton,favors,stricter punishment reduces crime 
bill_clinton,opposes,absolute right to gun ownership 
bill_clinton,favors,higher taxes on the wealthy 
bill_clinton,favors,pathway to citizenship for illegal aliens 
bill_clinton,favors,support & expand free trade 
bill_clinton,opposes,support american exceptionalism 
bill_clinton,opposes,expand the military 
bill_clinton,favors,make voter registration easier 
bill_clinton,favors,avoid foreign entanglements 
bill_clinton,favors,prioritize green energy 
bill_clinton,favors,marijuana is a gateway drug 
bill_clinton,favors,stimulus better than market-led recovery 
bill_nelson,favors,abortion is a woman's unrestricted right 
bill_nelson,favors,legally require hiring women & minorities 
bill_nelson,favors,comfortable with same-sex marriage 
bill_nelson,opposes,keep god in the public sphere 
bill_nelson,favors,expand obamacare 
bill_nelson,opposes,privatize social security 
bill_nelson,opposes,vouchers for school choice 
bill_nelson,opposes,epa regulations are too restrictive 
bill_nelson,opposes,stricter punishment reduces crime 
bill_nelson,opposes,absolute right to gun ownership 
bill_nelson,favors,higher taxes on the wealthy 
bill_nelson,favors,pathway to citizenship for illegal aliens 
bill_nelson,favors,support & expand free trade 
bill_nelson,opposes,support american exceptionalism 
bill_nelson,opposes,expand the military 
bill_nelson,favors,make voter registration easier 
bill_nelson,opposes,avoid foreign entanglements 
bill_nelson,favors,prioritize green energy 
bill_nelson,no opinion on,marijuana is a gateway drug 
bill_nelson,favors,stimulus better than market-led recovery 
